t_Servicio.id,t_Servicio.f_nombre_servicio,t_Servicio.f_tipo_servicio,t_Servicio.f_categoria_servicio,t_Servicio.f_objetivo_servicio,t_Servicio.f_alcance_servicio,t_Servicio.f_metodo_servicio,t_Servicio.f_rango_servicio,t_Servicio.f_incertidumbre_servicio,t_Servicio.f_itemensayar_servicio,t_Servicio.f_requisitos_servicio,t_Servicio.f_resultados_servicio,t_Servicio.f_docencia_servicio,t_Servicio.f_investigacion_servicio,t_Servicio.f_gestion_servicio,t_Servicio.f_extencion_servicio,t_Servicio.f_visibilidad_servicio,t_Servicio.f_responsable_servicio,t_Servicio.f_seccion_servicio
1,Servi1,7,9,O,A,M,N/A,N/A,I,R,RR,True,True,False,False,False,2,88
2,Servi1,7,9,O,A,M,N/A,N/A,I,R,RR,True,True,False,False,False,2,88
3,Servi1,7,9,O,A,M,N/A,N/A,I,R,RR,True,True,False,False,False,2,88
4,Servi1,7,9,O,A,M,N/A,N/A,I,R,RR,True,True,False,False,False,2,88
5,Servi1,7,9,O,A,M,N/A,N/A,I,R,RR,True,True,False,False,False,2,88
6,Servi1,7,9,O,A,M,N/A,N/A,I,R,RR,True,True,False,False,False,2,88
7,Servi1,7,9,O,A,M,N/A,N/A,I,R,RR,True,True,False,False,False,2,88
8,Servi1,7,9,O,A,M,N/A,N/A,I,R,RR,True,True,False,False,False,2,88
9,Servi1,7,9,O,A,M,N/A,N/A,I,R,RR,True,True,False,False,False,2,88
10,Servi1,7,9,O,A,M,N/A,N/A,I,R,RR,True,True,False,False,False,2,88
11,Servi1,7,9,O,A,M,N/A,N/A,I,R,RR,True,True,False,False,False,2,88
12,Servi1,7,9,O,A,M,N/A,N/A,I,R,RR,True,True,False,False,False,2,88
13,Servi1,7,9,O,A,M,N/A,N/A,I,R,RR,True,True,False,False,False,2,88
14,Servi1,7,9,O,A,M,N/A,N/A,I,R,RR,True,True,False,False,False,2,88
15,Servi1,7,9,O,A,M,N/A,N/A,I,R,RR,True,True,False,False,False,2,88
16,Servi1,7,9,O,A,M,N/A,N/A,I,R,RR,True,True,False,False,False,2,88
17,Servi1,7,9,O,A,M,N/A,N/A,I,R,RR,True,True,False,False,False,2,88
18,Servi1,7,9,O,A,M,N/A,N/A,I,R,RR,True,True,False,False,False,2,88
19,Servi1,7,9,O,A,M,N/A,N/A,I,R,RR,True,True,False,False,False,2,88
20,Servi1,7,9,O,A,M,N/A,N/A,I,R,RR,True,True,False,False,False,2,88
21,Servi1,7,9,O,A,M,N/A,N/A,I,R,RR,True,True,False,False,False,2,88
22,Servi1,7,9,O,A,M,N/A,N/A,I,R,RR,True,True,False,False,False,2,88
23,Servi1,7,9,O,A,M,N/A,N/A,I,R,RR,True,True,False,False,False,2,88
24,Servi1,7,9,O,A,M,N/A,N/A,I,R,RR,True,True,False,False,False,2,88
25,Servi1,7,9,O,A,M,N/A,N/A,I,R,RR,True,True,False,False,False,2,88
26,Servi1,7,9,O,A,M,N/A,N/A,I,R,RR,True,True,False,False,False,2,88
27,Servi1,7,9,O,A,M,N/A,N/A,I,R,RR,True,True,False,False,False,2,88
28,Servi1,7,9,O,A,M,N/A,N/A,I,R,RR,True,True,False,False,False,2,88
29,Servi1,7,9,O,A,M,N/A,N/A,I,R,RR,True,True,False,False,False,2,88
30,Servi1,7,9,O,A,M,N/A,N/A,I,R,RR,True,True,False,False,False,2,88
31,Servi1,7,9,O,A,M,N/A,N/A,I,R,RR,True,True,False,False,False,2,88
32,Servi1,7,9,O,A,M,N/A,N/A,I,R,RR,True,True,False,False,False,2,88
33,Servi1,7,9,O,A,M,N/A,N/A,I,R,RR,True,True,False,False,False,2,88
